Name;PeaceScore
Yacine;26
Youssef;82
Abigail;9
Achille;92
Adélaïde;33
Adil;99
Alix;76
Amel;72
Amin;68
Amina;64
Annabelle;54
Artémis;27
Athénaïs;89
Cameron;31
Castille;5
Céline;53
Charlie;52
Claudia;32
Curtis;54
Dan;72
Dana;87
Daphnée;0
Diane;47
El;41
Éléa;69
Elsa;42
Elvire;29
Elyes;16
Félicien;8
Haroun;16
Hugo;69
Ilan;73
Iris;1
Isabella;65
Ismael;55
Jack;92
Jade;35
Julien;94
Leandro;72
Léo;65
Lino;69
Livia;81
Luisa;77
Madeleine;30
Mariame;38
Mathys;92
Meryam;2
Naïla;62
Nicole;64
Nino;54
Perla;49
Perrine;56
Ranim;74
Romain;4
Sam;6
Samuel;54
Sebastian;1
Serine;76
Solène;49
Thalia;78
Tidiane;55
Tim;92
Toma;72
Valentina;75
Zakary;38
Aaliyah;20
Adam;50
Aden;86
Alice;53
Allan;28
Ambroise;17
Amine;0
Anas;98
Antonin;76
Ariel;7
Aristide;82
Armel;97
Colette;55
Dana;40
Daniella;9
Dany;11
Eden;63
Emmy;89
Enzo;32
Eugène;70
Eyal;2
Fatma;61
Filip;30
Gaston;84
George;84
Hanaé;39
Hedi;39
Henri;4
Ilyan;71
India;75
Isaure;63
Jean-Baptiste;92
Jude;74
Kawtar;52
Kenny;1
Kylian;71
Lana;94
Lara;20
Lassana;92
Laura;79
Layanah;60
Lila;39
Lise;95
Louise;81
Lya;56
Malik;0
Malo;94
Margaux;36
Marin;25
Maxence;85
Maxime;19
Melissa;62
Menahem;95
Michelle;3
Mouhamadou;90
Myla;96
Mylan;53
Nadine;63
Nélia;60
Neyla;41
Nolhan;3
Nour;21
Paola;42
Rafaël;70
Rosa;66
Ryan;82
Sirine;44
Solène;27
Théodore;87
Warren;31
Yani;2
Yanis;22
Yasin;25
Abel;37
Adel;20
Adrian;86
Alban;74
Alima;86
Amalia;90
Aminata;50
Amine;71
Anaelle;70
Ariane;51
Astrid;17
Ayah;11
Ayman;38
Cheikh;11
Cyrus;51
Dylan;90
Elie;97
Éloïse;10
Emilie;8
Fares;91
Félicie;25
Frédéric;79
Gautier;27
Hafsa;71
Hawa;16
Hocine;12
Ilian;35
Islem;17
Jason;62
Julian;23
Julie;70
Kader;78
Kiara;55
Kiyan;11
Lahna;57
Lucia;13
Lyam;34
Lydia;12
Maïwenn;0
Malick;74
Marco;69
Marnie;60
Méllina;44
Milica;99
Mohamed;23
Mohamed-Lamine;23
Ousmane;13
Paul;60
Pierre-Louis;31
Ranya;63
Safiya;64
Sam;11
Siham;89
Taha;36
Talia;95
Timothé;42
Tiphaine;66
Titouan;42
Valeria;39
Yanis;37
Abd;77
Abdoul;28
Ahmed;42
Anaïs;5
Anas;38
Asma;23
Augustine;91
Carla;38
Cheikh;56
Dalia;24
Damien;43
Daphné;71
Daria;1
Elisabeth;9
Elliot;37
Estelle;79
Éva;27
Evy;98
Gianni;65
Grace;72
Hadja;63
Hugo;14
Isabella;4
Iyad;54
Iyed;79
Jade;50
Jayden;88
Kaïs;29
Kheira;57
Léo;64
Léonard;78
Liv;74
Loïs;16
